Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ChooseList/ExMemory 1/ExMemory 500/ExMemory 100,1.2026264667204898e-6,1.1623228758397319e-6,1.248903175151443e-6,1.3975187464640728e-7,9.876456583373321e-8,1.855261932274872e-7
ChooseList/ExMemory 1/ExMemory 500/ExMemory 500,1.2545849443960227e-6,1.2256121473798834e-6,1.3078585889901545e-6,1.3743341709840677e-7,9.423332364246478e-8,1.9136791591066334e-7
ChooseList/ExMemory 1/ExMemory 500/ExMemory 1500,1.2878388920160704e-6,1.2547860718113206e-6,1.3580272526178853e-6,1.4461396361994767e-7,1.1903027924824993e-7,1.9604265688801267e-7
ChooseList/ExMemory 1/ExMemory 500/ExMemory 3000,1.2164039288302572e-6,1.1837908477650384e-6,1.2620536639157226e-6,1.2492894101813444e-7,8.928703884071567e-8,1.6279657516682406e-7
ChooseList/ExMemory 1/ExMemory 500/ExMemory 5000,1.050907249659029e-6,1.0152205951294826e-6,1.1090364604246227e-6,1.3926947694164942e-7,1.125006887692048e-7,1.880886801436456e-7
ChooseList/ExMemory 1/ExMemory 1500/ExMemory 100,1.097224732173024e-6,1.0700565453738788e-6,1.123614228805128e-6,8.275485949489712e-8,7.27458659476165e-8,1.1073787036542013e-7
ChooseList/ExMemory 1/ExMemory 1500/ExMemory 500,1.1446502249492532e-6,1.102501704791127e-6,1.1976372558998661e-6,1.5453681072006157e-7,1.1212655996474969e-7,2.1414662631501024e-7
ChooseList/ExMemory 1/ExMemory 1500/ExMemory 1500,1.148925861990354e-6,1.1227474498942581e-6,1.1804708951276974e-6,9.51447269885877e-8,7.864519807287979e-8,1.2810414611479564e-7
ChooseList/ExMemory 1/ExMemory 1500/ExMemory 3000,1.2556015514683579e-6,1.2145300483728534e-6,1.300108565531105e-6,1.4316223085448804e-7,1.0285335092440537e-7,1.8662666324452016e-7
ChooseList/ExMemory 1/ExMemory 1500/ExMemory 5000,1.1616257348100381e-6,1.1075725786478045e-6,1.2356496906543797e-6,1.8913591835538848e-7,1.417477672504699e-7,2.6874725310472833e-7
ChooseList/ExMemory 1/ExMemory 3000/ExMemory 100,1.2479504646316935e-6,1.1945858740184784e-6,1.32272440408825e-6,2.2952604653794866e-7,1.5801514914342768e-7,3.6501277313893247e-7
ChooseList/ExMemory 1/ExMemory 3000/ExMemory 500,1.0744294742357663e-6,1.0418732582868667e-6,1.1029508009614583e-6,1.1615628940837405e-7,1.0742594940729779e-7,1.258365187858032e-7
ChooseList/ExMemory 1/ExMemory 3000/ExMemory 1500,1.1925431207843656e-6,1.146027639300609e-6,1.27995838054262e-6,2.0808297434137763e-7,1.1067059839254947e-7,3.3756084756477607e-7
ChooseList/ExMemory 1/ExMemory 3000/ExMemory 3000,1.2231323420429505e-6,1.1901940167147043e-6,1.273375071534076e-6,1.4202279454118681e-7,9.206661521955224e-8,1.9232045719221743e-7
ChooseList/ExMemory 1/ExMemory 3000/ExMemory 5000,1.1438552890064147e-6,1.0981083116606504e-6,1.25626833737738e-6,1.9782172165475187e-7,1.0678397030320642e-7,3.7767153027655664e-7
ChooseList/ExMemory 1/ExMemory 5000/ExMemory 100,9.800510240190796e-7,9.580452298233e-7,1.007115614109146e-6,9.021707202648678e-8,5.679875045736601e-8,1.1779375604621097e-7
ChooseList/ExMemory 1/ExMemory 5000/ExMemory 500,1.1645807539412791e-6,1.11692611133538e-6,1.276181880251081e-6,2.4142168216079005e-7,1.227706823612106e-7,4.0249788485996345e-7
ChooseList/ExMemory 1/ExMemory 5000/ExMemory 1500,1.2066250584467697e-6,1.1783655914482943e-6,1.2444138082887857e-6,1.0414023560885023e-7,7.132564355002373e-8,1.5097709532791482e-7
ChooseList/ExMemory 1/ExMemory 5000/ExMemory 3000,1.331315842938405e-6,1.2693852177417058e-6,1.4719019557591751e-6,3.0995731367849875e-7,1.5841916218424773e-7,5.650981083666173e-7
ChooseList/ExMemory 1/ExMemory 5000/ExMemory 5000,1.1425156755597228e-6,1.0896809056094197e-6,1.2016110903034234e-6,1.7127855887001022e-7,1.2907609787187154e-7,2.695302476088717e-7
ChooseList/ExMemory 2/ExMemory 100/ExMemory 100,1.2483066363115742e-6,1.2252587291229246e-6,1.273092835851359e-6,8.034423780832463e-8,5.9385464571139e-8,1.1505710904814925e-7
ChooseList/ExMemory 2/ExMemory 100/ExMemory 500,1.0789130158566828e-6,1.033832128917631e-6,1.1295311803719993e-6,1.434290236566232e-7,1.260409682713612e-7,1.844636640371181e-7
ChooseList/ExMemory 2/ExMemory 100/ExMemory 1500,1.2440698248424339e-6,1.220115960538282e-6,1.2956462435933649e-6,1.0563106555059403e-7,7.106684552224263e-8,1.6436095143181817e-7
ChooseList/ExMemory 2/ExMemory 100/ExMemory 3000,1.2469277846022432e-6,1.1978153314400453e-6,1.3179649823748787e-6,1.7741327410697257e-7,1.032593679306546e-7,3.096220803973715e-7
ChooseList/ExMemory 2/ExMemory 100/ExMemory 5000,9.651422068766567e-7,9.489158363974571e-7,9.940531772051093e-7,6.938708541549208e-8,4.2965850637448e-8,9.665074288311973e-8
ChooseList/ExMemory 2/ExMemory 500/ExMemory 100,1.2152583309754045e-6,1.1686564365011177e-6,1.3026176945302475e-6,1.9661808316686414e-7,1.379652511105429e-7,3.3656361296873995e-7
ChooseList/ExMemory 2/ExMemory 500/ExMemory 500,1.0124585036300152e-6,9.827474352630037e-7,1.0492145186862953e-6,1.0225738916104204e-7,8.338140972083795e-8,1.1397500728973156e-7
ChooseList/ExMemory 2/ExMemory 500/ExMemory 1500,1.0057721116467007e-6,9.691591459089154e-7,1.043738062186898e-6,1.1638953375121074e-7,9.045889778846117e-8,1.5358464540359843e-7
ChooseList/ExMemory 2/ExMemory 500/ExMemory 3000,1.253448731080681e-6,1.2269229343279974e-6,1.2966453020544426e-6,1.0687030652438175e-7,6.999226864094352e-8,1.4703300092375988e-7
ChooseList/ExMemory 2/ExMemory 500/ExMemory 5000,1.04587353943257e-6,1.001681240413607e-6,1.1004103557339124e-6,1.5205179922571853e-7,1.2335265143906073e-7,1.8678927152231445e-7
ChooseList/ExMemory 2/ExMemory 1500/ExMemory 100,1.1179890762651407e-6,1.0837179592687245e-6,1.1645384301840858e-6,1.2452511352048107e-7,9.797100167358246e-8,1.7023218938134785e-7
ChooseList/ExMemory 2/ExMemory 1500/ExMemory 500,1.150463114242418e-6,1.1064025809339527e-6,1.205766945145361e-6,1.5783774634750974e-7,1.3418750895111066e-7,2.0972924872376796e-7
ChooseList/ExMemory 2/ExMemory 1500/ExMemory 1500,1.0758067166695816e-6,1.0473673509193732e-6,1.1150013613640676e-6,1.2222062954911663e-7,1.1393761524671391e-7,1.4446223898040522e-7
ChooseList/ExMemory 2/ExMemory 1500/ExMemory 3000,1.093417622529155e-6,1.0498425339154835e-6,1.1528844610587494e-6,1.4724692313785536e-7,1.2332055307278315e-7,2.059346558470419e-7
ChooseList/ExMemory 2/ExMemory 1500/ExMemory 5000,1.2570781675445703e-6,1.2379995990978052e-6,1.3090250030242777e-6,9.2323113504083e-8,6.281086970791093e-8,1.493785142613255e-7
ChooseList/ExMemory 2/ExMemory 3000/ExMemory 100,1.0553695582888943e-6,1.0240325353636675e-6,1.1037990638086679e-6,1.352422465875675e-7,1.1091723356200942e-7,1.8859822486552296e-7
ChooseList/ExMemory 2/ExMemory 3000/ExMemory 500,1.0458298397279636e-6,1.0086920143250512e-6,1.0950231154135103e-6,1.3570949597119875e-7,1.0822023497872313e-7,1.7350370517042168e-7
ChooseList/ExMemory 2/ExMemory 3000/ExMemory 1500,1.2135253937781637e-6,1.1615364079366116e-6,1.2903992872715166e-6,2.3655055292168413e-7,1.9324441369487742e-7,3.2713062486488325e-7
ChooseList/ExMemory 2/ExMemory 3000/ExMemory 3000,1.2080276570511654e-6,1.177714550490275e-6,1.2410711321942917e-6,1.0680062488273037e-7,5.866350529869592e-8,1.675596721000311e-7
ChooseList/ExMemory 2/ExMemory 3000/ExMemory 5000,1.31691415718522e-6,1.254835317370241e-6,1.3884086356592546e-6,2.2003428600881306e-7,1.7999765413722737e-7,2.7922558705571706e-7
ChooseList/ExMemory 2/ExMemory 5000/ExMemory 100,1.1815606566170915e-6,1.1597265534392835e-6,1.2073200062757412e-6,7.997093519871953e-8,5.1610337222688484e-8,1.1613526412600575e-7
ChooseList/ExMemory 2/ExMemory 5000/ExMemory 500,1.205331320253411e-6,1.1325493909869486e-6,1.4063294576975706e-6,3.453455214517524e-7,1.6658814339497787e-7,6.990469375809544e-7
ChooseList/ExMemory 2/ExMemory 5000/ExMemory 1500,1.1857186901639523e-6,1.1547325476514585e-6,1.2265455241420402e-6,1.2749932878061389e-7,8.620858087108936e-8,1.8853280806708512e-7
ChooseList/ExMemory 2/ExMemory 5000/ExMemory 3000,1.1411126969974921e-6,1.102237898582207e-6,1.1701794767515282e-6,1.0791184028530127e-7,8.146447326955471e-8,1.2817256721771628e-7
ChooseList/ExMemory 2/ExMemory 5000/ExMemory 5000,1.2472554974402313e-6,1.216449483673098e-6,1.2976126631992505e-6,1.3522116293037503e-7,8.983403256181052e-8,1.914409799886399e-7
ChooseList/ExMemory 3/ExMemory 100/ExMemory 100,1.0332385017397542e-6,1.0064208595916438e-6,1.0675845077447617e-6,1.1034562608949841e-7,9.96901375595699e-8,1.1922438409664122e-7
ChooseList/ExMemory 3/ExMemory 100/ExMemory 500,1.1315355562403264e-6,1.0837474515148814e-6,1.1815206099759873e-6,1.6084489576095015e-7,1.341916608653026e-7,2.1100999553476344e-7
ChooseList/ExMemory 3/ExMemory 100/ExMemory 1500,1.1839515811822447e-6,1.1445890177996528e-6,1.227326108140922e-6,1.5296755597735712e-7,1.1471149963347173e-7,2.3901753294981153e-7
ChooseList/ExMemory 3/ExMemory 100/ExMemory 3000,1.2769544111744997e-6,1.2399933440338887e-6,1.3396652984584997e-6,1.4529108423220274e-7,1.0936742801048207e-7,2.1663563857347264e-7
ChooseList/ExMemory 3/ExMemory 100/ExMemory 5000,1.1627756343547487e-6,1.113241656414096e-6,1.2081376986570414e-6,1.39725349333597e-7,1.0867384655928931e-7,1.82246800198785e-7
ChooseList/ExMemory 3/ExMemory 500/ExMemory 100,1.1961903937670174e-6,1.1801608118633351e-6,1.2238364368220892e-6,7.201422787625909e-8,4.715868647264032e-8,1.0904970839033555e-7
ChooseList/ExMemory 3/ExMemory 500/ExMemory 500,1.203410635500834e-6,1.17542515385706e-6,1.2346078788144885e-6,9.334631081765261e-8,6.719242453701153e-8,1.3429249951104582e-7
ChooseList/ExMemory 3/ExMemory 500/ExMemory 1500,1.2120967312188097e-6,1.1874430787910198e-6,1.246255063690598e-6,9.604075463990925e-8,5.942611062195e-8,1.3696937955621084e-7
ChooseList/ExMemory 3/ExMemory 500/ExMemory 3000,1.1128311456522954e-6,1.0641441555293982e-6,1.1509321045748646e-6,1.356768197777435e-7,1.1816598679751217e-7,1.5307725462641568e-7
ChooseList/ExMemory 3/ExMemory 500/ExMemory 5000,1.1886362561579926e-6,1.1644808498107203e-6,1.210093166889239e-6,7.404737709250421e-8,5.0292066035213594e-8,1.089693935452985e-7
ChooseList/ExMemory 3/ExMemory 1500/ExMemory 100,1.1901612780945162e-6,1.1525029255090616e-6,1.221013772189213e-6,1.0901979846556136e-7,7.70948846143312e-8,1.4093244062217176e-7
